Tissue,Mean_AbsZ,Velocity,N_Markers,N_Observations,Upregulated_Pct,Downregulated_Pct,Bootstrap_CI_Lower,Bootstrap_CI_Upper
Lung,4.285588788401428,4.285588788401428,7,7,14.285714285714285,85.71428571428571,2.234079898833153,5.950473757658037
Skeletal_muscle_EDL,2.1738021055823498,2.1738021055823498,5,5,20.0,80.0,1.0062697135988439,3.359674562353471
Skin dermis,2.0911292481653034,2.0911292481653034,34,34,82.35294117647058,17.647058823529413,1.8300440960281334,2.3503549867709426
Cortex,1.988000393684284,1.988000393684284,24,24,45.83333333333333,54.166666666666664,1.644536670635692,2.401597776582981
Skeletal_muscle_TA,1.9552397727644706,1.9552397727644706,6,6,16.666666666666664,83.33333333333334,1.2984692109251605,2.7215563944325045
Skeletal_muscle_Gastrocnemius,1.8983645516982757,1.8983645516982757,12,12,50.0,50.0,1.290655245409654,2.7856685840805144
Glomerular,1.8016542607808284,1.8016542607808284,18,19,89.47368421052632,10.526315789473683,1.4476685090481887,2.1552352814330415
OAF,1.6733080492072432,1.6733080492072432,36,36,44.44444444444444,55.55555555555556,1.2982007516321838,2.0704590483542846
Skeletal_muscle_Soleus,1.6514273463924554,1.6514273463924554,7,7,57.14285714285714,42.857142857142854,1.0167319310513514,2.3513157911798444
Native_Tissue,1.6346478411541696,1.6346478411541696,38,38,47.368421052631575,52.63157894736842,1.2948733355477775,1.9876701981831897
IAF,1.525625717205399,1.525625717205399,24,24,25.0,75.0,1.0321007651899072,2.0568990062710135
Ovary,1.4459533416596355,1.4459533416596355,11,11,63.63636363636363,36.36363636363637,1.1156361145160196,1.8300796025877228
NP,1.3483618382854905,1.3483618382854905,26,26,38.46153846153847,61.53846153846154,0.8732815470540983,1.8720038783414907
Hippocampus,1.2435209927769084,1.2435209927769084,11,11,45.45454545454545,54.54545454545454,0.8699101584557777,1.7130141115729116
Decellularized_Tissue,1.186435355652691,1.186435355652691,7,7,57.14285714285714,42.857142857142854,0.6974970212364988,1.7472205203372653
Tubulointerstitial,1.0186552936067486,1.0186552936067486,7,8,37.5,62.5,0.7034923646564673,1.4321879383511051
